"","species","covariate","depth_effect","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"1","greenstriped rockfish","temp",TRUE,-2.60864951319632,2.45639605926174,3.61406741781714,3.20519083346441,6.22271693101346,5.362622728954,2.99573227355399,0,0.896700100205132,0.178043898406417
"2","kelp greenling","temp",TRUE,-8.27878322076715,4.45239102069735,6.86440872856918,2.52943438690065,15.1431919493363,6.38333731831383,2.99573227355399,0,0.982556841115914,0.014705693149316
"3","shortfin eelpout","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","shortspine thornyhead","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","northern rockfish","temp",TRUE,NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.00568702512992,0.0243491282147409
"6","redstripe rockfish","temp",TRUE,-2.82009571646372,1.59338634973268,3.47971766502471,2.00408009653966,6.29981338148843,3.2872160579007,2.99573227355399,0,0.899212975902805,0.105180488366164
"7","southern rock sole","temp",TRUE,-9.03681380749293,2.879239518769,18.8279050104074,9.89328284856127,27.8647188179003,12.2917930944048,2.99573227355399,0,0.994848298853188,0.00454507687622092
"8","northern rock sole","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","sculpin unid.","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","octopus unid.","temp",TRUE,-6.3698069310632,5.74098455080841,6.36603936203098,5.0362400865977,12.7358462930942,10.3017131267059,2.99573227355399,0,0.975339358296568,0.0398947742462926
"11","popeye grenadier","temp",TRUE,-3.03267023131752,0.584658825854197,-0.736363032161645,0.166425045487374,2.29630719915588,0.627487443506888,2.99573227355399,0,0.241422396007411,0.414576866375603
"12","Alaskan pink shrimp","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","sidestripe shrimp","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","squid unid.","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","capelin","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","eulachon","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","shrimp unid.","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
