"","species","mean_depth","min_depth","max_depth","lower95_depth","upper95_depth","range_depth","range95_depth","mean_lat","mean_lon","weighted_depth","weighted_lat","weighted_lon","n_year","p","min_n","mean_n"
"1","",193.401408450704,62,675,78.05,422.65,613,344.6,57.3043808629101,-152.989899771832,190.251933612094,56.4340735560658,-156.150368540793,7,0.0140618534712199,0,10.9230769230769
"2","Alaska plaice",66.0751072961373,10,207,19,136.5,197,117.5,56.4868417882297,-157.665312459636,62.7199060275784,56.3740425411894,-158.383350270211,13,0.0495482455987953,19,35.8461538461538
"3","Alaska skate",141.429378531073,26,375,39.8,274.4,349,234.6,56.4134432965597,-155.514124182611,128.631831932176,56.1510323296976,-157.046109825487,12,0.0189669911171433,0,13.6153846153846
"4","Alaskan pink shrimp",164.539396668167,20,508,70,278,488,208,57.5297962048869,-152.13934168028,161.147792654281,57.9673538972123,-151.643947535353,13,0.237034722828661,104,170.846153846154
"5","Aleutian skate",194.853510895884,29,882,65.625,518.375,853,452.75,56.5989331848373,-154.974230310059,177.788829822794,56.6539368759904,-155.502511800258,13,0.08913251757545,3,63.5384615384615
"6","antlered sculpin",NA,Inf,-Inf,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,0,0,0,0
"7","armorhead sculpin",67.9739583333333,19,225,24.775,177.9,206,153.125,56.3431734515142,-156.804592034395,64.5680845869121,56.2963330232219,-157.200211685518,13,0.0203690503551407,1,14.7692307692308
"8","arrowtooth flounder",154.690015252845,11,810,39,399,799,360,56.7117296595713,-152.474638148062,140.276775831783,57.1017748669896,-152.591554869991,13,0.909118373929036,489,655.615384615385
"9","Atka mackerel",119.106430155211,21,352,52.525,245.95,331,193.425,55.1658921209161,-159.403949982261,81.4937686209501,54.223995810942,-162.551362798215,13,0.0946922456895198,8,69.3846153846154
"10","bank rockfish",NA,Inf,-Inf,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,0,0,0,0
"11","Bering skate",182.794292508918,24,566,58,376,542,318,57.5336579565201,-151.649086231085,175.02688479805,57.5445924409289,-152.508518840933,13,0.0892339613369975,12,64.6923076923077
"12","big skate",79.4136363636364,4,376,20.975,192,372,171.025,57.0552047807333,-153.735927024228,66.9369124520192,56.9933806467269,-154.32730564599,13,0.0940738081524808,40,67.6923076923077
"13","bigmouth sculpin",172.819693094629,37,507,63.525,329.475,470,265.95,56.7992010997351,-154.447952198943,180.803335273127,56.8423388511044,-154.170376702461,13,0.0842241766962269,42,60.1538461538462
"14","black rockfish",74.8928571428571,8,263,20,201.675,255,181.675,57.010188820223,-152.246189982107,69.132602729734,55.6606075490027,-157.643102422995,13,0.00922619805963091,2,6.46153846153846
"15","blackspotted rockfish",249.140298507463,61,672,104.45,442.925,611,338.475,56.6594288423527,-151.616934877795,325.395645538552,56.6589878119455,-148.392542967542,7,0.0784903472915844,0,51.5384615384615
"16","blue rockfish",79,79,79,79,79,0,0,54.8875009038731,-160.846753715204,79,54.8875009038731,-160.846753715204,1,0.00010864841373316,0,0.0769230769230769
"17","bocaccio",195.0625,119,251,128.75,242,132,113.25,55.2772760409032,-134.2610899954,198.288076157738,55.0758875772625,-134.164711687556,8,0.00174445069941581,0,1.23076923076923
"18","butter sole",63.7394678492239,4,277,20,144.475,273,124.475,56.9680206020525,-154.939428481892,55.721513576235,57.1167121491243,-155.027072239122,13,0.0958863457093596,38,69.3846153846154
"19","butterfly sculpin",39,39,39,39,39,0,0,55.3291604996245,-161.265849858108,39,55.3291604996245,-161.265849858108,1,0.000100684655658478,0,0.0769230769230769
"20","canary rockfish",154.467741935484,59,310,66.825,224.075,251,157.25,55.7881396491005,-135.648121171765,146.220081514564,55.7835842875742,-134.426052313388,13,0.00693872361024343,1,4.76923076923077
"21","capelin",106.307575757576,8,350,22.975,265.025,342,242.05,57.501667110003,-152.681739190863,86.8112366294112,57.5957040100455,-152.081369945227,13,0.143279733048248,35,101.538461538462
"22","chinook salmon",98.8962075848303,13,494,24,251.5,481,227.5,57.6202516905129,-151.211934134764,86.9478090900791,57.6546025006655,-151.515022259269,13,0.055009574033956,16,38.5384615384615
"23","chum salmon",118.607936507937,10,555,39.725,265.75,545,226.025,57.1692061138403,-152.715951193483,113.724843330381,57.1124287883308,-153.165803255662,13,0.0683845194189718,15,48.4615384615385
"24","copper rockfish",46,46,46,46,46,0,0,55.6172750068379,-159.768400150381,46,55.6172750068379,-159.768400150381,1,9.19033177097693e-05,0,0.0769230769230769
"25","crested sculpin",197.5,101,294,105.825,289.175,193,183.35,57.2672925116197,-156.454622243939,203.868272282468,57.4479605608198,-155.986402951146,2,0.000208032234047212,0,0.153846153846154
"26","dark rockfish",96.9891304347826,49,268,55.375,155.9,219,100.525,55.4638888476768,-157.521422661695,98.0566589776647,54.813019600118,-159.207277102044,11,0.0113840650485988,3,8.36363636363636
"27","darkblotched rockfish",241.988372093023,51,351,107,332.875,300,225.875,57.3153172339245,-138.122447029572,299.923169781577,56.4305592546744,-136.170064186582,13,0.00922968164545558,2,6.61538461538461
"28","darkfin sculpin",244.314531548757,39,645,119,483.875,606,364.875,56.157192001919,-149.418554642519,243.125495468303,55.1842552175961,-154.947512928385,13,0.109579067131131,48,80.4615384615385
"29","deepsea sole",627.450980392157,347,924,423.5,875.5,577,452,57.5375296801896,-145.117858528108,626.59241517362,57.8722556427093,-145.998603410283,10,0.00517804927750512,0,3.92307692307692
"30","Dover sole",207.402503713134,24,917,64.8,553.2,893,488.4,57.3234107179395,-148.766046747217,243.403691344472,57.7267493897592,-146.321881307551,13,0.498640007588329,222,362.538461538462
"31","dusky and dark rockfishes unid.",152.611570247934,20,309,66.125,252,289,185.875,57.0385747208327,-151.870404868378,127.223629913561,57.2345461967302,-151.035709687897,2,0.162954933648666,110,121
"32","dusky rockfish",150.000830564784,24,379,65.075,250.85,355,185.775,56.75103237041,-152.407701980449,129.738157292802,56.8898884180595,-152.786399160545,12,0.142376100478725,3,100.333333333333
"33","English sole",95.9785969084423,8,329,24,233,321,209,57.2687568863407,-149.171081124891,75.1350480642935,57.8256309004443,-147.68822470722,13,0.09278868630428,45,64.6923076923077
"34","eulachon",167.803810160428,10,560,40.775,301.225,550,260.45,57.8653766215595,-149.406240177076,183.515701741291,57.9348761265309,-151.513441834643,13,0.319041776129487,150,230.153846153846
"35","flathead sole",132.487495115279,10,532,35,270,522,235,56.8460435463987,-154.158253948509,117.575358865591,56.7078615504793,-155.662583567119,13,0.54833454223201,298,393.692307692308
"36","giant grenadier",474.016077170418,112,977,246.05,869.275,865,623.225,56.0573414047227,-153.182538332944,496.486729983309,55.9848977325481,-155.1575031744,13,0.065118558472818,22,47.8461538461538
"37","giant octopus",180.569721115538,17,736,37,537.95,719,500.95,56.0203110575389,-155.956412405953,110.868766565841,56.007784662338,-156.981476430551,13,0.055435273562929,3,38.6153846153846
"38","great sculpin",74.7347204161248,4,358,22,160.8,354,138.8,56.2736643375885,-157.449238382812,78.4438298822289,56.3196262460823,-157.478669839937,13,0.0817377190412081,26,59.1538461538462
"39","Greenland turbot",427,340,514,344.35,509.65,174,165.3,52.5860278528564,-169.197520627815,416.867646742128,52.5807587233065,-169.235264236647,2,0.000189933812755978,0,0.153846153846154
"40","greenstriped rockfish",193.489795918367,114,245,141.2,234,131,92.8,55.7119801695039,-135.051307456798,195.096431336101,55.2421846186686,-134.505188244695,13,0.0157685707357618,5,11.3076923076923
"41","grenadier unid.",470.125,324,823,327.85,780.3,499,452.45,55.3604446691891,-154.954778542604,421.140095373805,58.5616283726058,-148.465776650825,5,0.000872168762326415,0,0.615384615384615
"42","harlequin rockfish",174.624454148472,60,494,86,315.25,434,229.25,56.9229982927918,-146.844810285503,146.563295781874,56.1064686113414,-150.323684448102,13,0.0722822393926158,29,52.8461538461538
"43","Kamchatka flounder",329.347826086957,82,635,86.95,632.25,553,545.3,54.0959747570636,-162.609345543594,400.474099623643,54.4089699923224,-160.806504658595,9,0.00233105873607829,0,1.76923076923077
"44","kelp greenling",77.7980952380952,19,219,24.1,119,200,94.9,55.8077546951142,-157.179049254139,77.4728300175486,55.668380247152,-157.726876564537,13,0.0551717994450758,23,40.3846153846154
"45","lingcod",129.388788426763,20,364,39,245,344,206,57.9064072917148,-143.662576885294,115.62572004217,58.0534448437278,-143.15629625399,13,0.120029395010666,43,85.0769230769231
"46","longnose skate",166.304099636741,20,613,47,364,593,317,57.7426620968644,-149.51189052365,154.283334661238,57.8071515767793,-150.634277900942,13,0.207496554995634,92,148.230769230769
"47","longspine thornyhead",726.81052631579,465,947,538,921.55,482,383.55,56.8318081225439,-144.357459039874,701.85353211845,56.6129570102711,-139.788673941606,10,0.00953858751774731,0,7.30769230769231
"48","magistrate armhook squid",279.076474022183,18,946,105.8,553.2,928,447.4,56.6521053340311,-150.908298364059,289.275523539942,56.274801162938,-152.873850622218,13,0.182063287812267,88,131.769230769231
"49","mud skate",220.2,97,337,109.15,316.3,240,207.15,53.2940157475755,-167.577998537851,212.711392984824,53.6058361214642,-166.598462827505,5,0.00110136437121576,0,0.769230769230769
"50","northern rock sole",75.2155419222904,4,339,22,156.9,335,134.9,55.6768846152356,-158.849370654374,58.749090071227,55.5632688329568,-159.514846587511,11,0.309431013610777,156,222.272727272727
