"","species","mean_depth","min_depth","max_depth","lower95_depth","upper95_depth","range_depth","range95_depth","mean_lat","mean_lon","weighted_depth","weighted_lat","weighted_lon","n_year","p","min_n","mean_n"
"1","arrowtooth flounder",211.276169907039,57.1,992.0066,73.0005,495.45752,934.9066,422.45702,44.2645552604356,-124.525899070372,229.135803085176,45.6448836455824,-124.762097593499,16,0.363449493255662,172,235.3125
"2","aurora rockfish",452.098123285714,104.6491,1021.0273,326.3022175,591.657905,916.3782,265.3556875,39.0012615080143,-122.608030753929,466.288167990284,37.5166484614701,-122.221173526486,16,0.134385726090342,55,87.5
"3","big skate",111.221941323346,55.5792,459.2613,61.357675,218.7434575,403.6821,157.3857825,42.7157716048814,-123.990649188539,111.468831624251,42.8672071962182,-124.068256988282,16,0.15479446073444,55,100.125
"4","bigfin eelpout",349.17526720488,56.9164,1094.6468,115.619045,570.90852,1037.7304,455.289475,40.9143454731109,-123.295158075153,371.662740556783,41.270201735014,-123.677985487179,16,0.271089141513907,127,174.1875
"5","black eelpout",460.58626883343,61.0693,1193.5715,155.750745,726.12593,1132.5022,570.375185,41.5676923325711,-123.684989359629,477.958394932861,41.809155341134,-124.04344301064,16,0.166439655589026,71,107.6875
"6","black rockfish",70.3120125,61.4866,89.2,61.943945,86.295,27.7134,24.351055,43.1834375,-123.9005208325,72.8607203261662,44.2229915876091,-124.237907050985,6,0.000764469190266109,0,0.5
"7","blackbelly eelpout",156.736399676824,58.4892,1160.4,71.35965,433.305625,1101.9108,361.945975,41.5682185544275,-123.254734918356,214.51636293529,37.3185581680519,-121.388719233545,16,0.207877782122763,68,135.375
"8","blackgill rockfish",405.570185961872,122.2351,646.7724,217.16308,540.31552,524.5373,323.15244,35.9308564415425,-121.241118813865,428.116867480729,35.2099490422205,-121.096974524148,16,0.0553398510920432,20,36.0625
"9","blue rockfish",82.4341571428571,63.6213,131.6599,64.563105,124.36417,68.0386,59.801065,36.3962698414286,-121.649246032857,68.5999360630256,36.0846193932806,-121.61234039769,4,0.000812779133861605,0,0.4375
"10","brown cat shark",673.603621174825,81.5309,1271.0456,293.241025,1141.355515,1189.5147,848.11449,39.8708459207776,-123.082800388498,632.119067406888,39.6570000791903,-123.099767709844,16,0.345183207243972,151,223.4375
"11","brown rockfish",74.1320459770115,56.6928,126.4,59.136295,93.70938,69.7072,34.573085,37.6523371648276,-122.648595146667,70.2322803991315,37.5650283469865,-122.523043230345,16,0.00858649727994508,1,5.4375
"12","butterfish unident.",97.34027,69.5,196.1,69.5315,176.3910575,126.6,106.8595575,35.453416668,-120.634805555,90.6967376227421,35.1592933864991,-120.341093625046,4,0.000918061851576379,0,0.625
"13","cabezon",73.9181,60.8724,102.5,61.17447,99.8675,41.6276,38.69303,40.638958335,-122.9236111125,64.9557178142911,45.351583892915,-124.508909787787,4,0.000359798083548674,0,0.25
"14","california skate",103.300233216477,55.75,791.8267,60.79885,234.06525,736.0767,173.2664,36.8671876521209,-121.798449946521,90.4464291663113,37.4043761599773,-122.29121347476,16,0.109841440147832,45,71.3125
"15","california slickhead",911.533874093722,425.7,1271.0456,583.75469,1223.775075,845.3456,640.020385,39.2975701198585,-122.983367472312,998.09892867003,36.7283299959416,-121.819070100169,16,0.217752775765942,92,141.375
"16","canary rockfish",143.970256810244,56.6928,351.373,65.27041,224.587835,294.6802,159.317425,43.9539015003958,-124.388824214284,141.529985435984,45.8487445525941,-124.797257297753,16,0.0827160406803511,32,53.6875
"17","chilipepper",166.78390367597,55.75,463.646,71.07363,331.95636,407.896,260.88273,37.5421896981756,-122.335891762995,178.800144029624,38.4052947826847,-123.318064044497,16,0.143574109242911,68,91.8125
"18","copper rockfish",93.8162496296296,59.1936,407.8783,63.633725,164.213385,348.6847,100.57966,35.1250514403704,-120.613510288074,98.158015220923,34.3495355619667,-120.309110813801,16,0.0130428581780825,3,8.4375
"19","cowcod",165.505482666667,61.6434,522.1,78.5432025,291.1503825,460.4566,212.60718,35.9055824074667,-121.286088888667,182.526757675215,35.9173179564166,-121.459768045762,16,0.0288644319591965,7,18.75
"20","curlfin sole",97.4648082987552,55.5792,439.9797,59.89749,200.48149,384.4005,140.584,38.2731235592448,-122.37551129556,89.1192692981901,38.7689620494481,-122.860158465211,16,0.116470730893734,42,75.3125
"21","darkblotched rockfish",220.887344090159,69.8,567.3,103.945775,414.41355,497.5,310.467775,43.7542465335954,-124.413347077163,277.907051014782,44.1949326850601,-124.682363196611,16,0.17656350142601,89,113.6875
"22","deepsea sole",883.599959442724,275.5991,1271.1034,494.52115,1225.4361,995.5043,730.91495,41.0804507592968,-123.772462897506,946.550182716712,41.6946275105359,-124.230634062107,16,0.218710218945999,94,141.3125
"23","dover sole",378.322914551119,55.5792,1261.2144,70.4516375,1057.606125,1205.6352,987.1544875,40.9835542798661,-123.311611694484,410.524439989312,42.0350289304537,-123.97736071489,16,0.837409216767829,406,541.625
"24","dungeness crab",141.179577433388,55.5792,1192.1534,62.82331,368.0779925,1136.5742,305.2546825,42.5362888949347,-123.979367938502,105.099123441578,42.648187877166,-124.0140068597,16,0.351789168747254,89,229.875
"25","english sole",133.214575011623,55.5792,479.6742,62.4957525,322.9412125,424.095,260.44546,41.1467958055718,-123.278181336825,124.72122858605,42.158148705214,-123.75650691289,16,0.416126341486893,206,268.875
"26","filetail cat shark",490.307472170686,91.2752,1231.2789,264.6761375,826.96543,1140.0037,562.2892925,35.0748417853154,-120.945699082699,476.239991751691,35.008374054576,-121.007791636332,16,0.102630608040114,33,67.375
"27","flag rockfish",130.385217241379,60.2323,317.6604,69.471875,217.963225,257.4281,148.49135,34.2168223181034,-119.48026341,121.475241503219,34.264469094127,-119.511756906389,16,0.0112491225832901,4,7.25
"28","flathead sole",146.706718213457,62.0893,375.6232,84.7637175,268.412915,313.5339,183.6491975,46.1371403712993,-124.63308842478,160.350420236311,47.1064340307159,-124.831014285186,16,0.0832294175555816,25,53.875
"29","giant grenadier",948.789440822235,442.9201,1271.1034,576.590455,1233.257905,828.1833,656.66745,41.519400694806,-123.994807952148,1058.97723732969,42.4005730774519,-124.558520173279,16,0.167638551268146,72,107.9375
"30","greenspotted rockfish",148.111825177305,62.2812,347.7052,80.706575,266.4438175,285.424,185.7372425,37.7904343970035,-121.936282013262,141.141246390565,37.515545823105,-122.187665234033,16,0.0545645184319061,25,35.25
"31","greenstriped rockfish",156.579353929237,60.2,474.3068,88.8,263.37664,414.1068,174.57664,41.9522987792477,-123.628169046048,161.018405570762,44.4727423949113,-124.538956310596,16,0.259788512937261,125,167.8125
"32","grooved tanner crab",797.416110439745,64.0701,1271.1034,342.48388,1214.070845,1207.0333,871.586965,40.5655799858845,-123.500883312863,840.073606015561,41.3548410241888,-124.068101763789,16,0.285368472105075,78,186.1875
"33","halfbanded rockfish",116.580224728589,56.9164,439.9797,65.09367,238.0171,383.0633,172.92343,34.9635176249216,-120.312305320929,99.6521893978888,34.1725519701371,-119.299974435052,16,0.0794238845415409,21,51.8125
"34","honeycomb rockfish",87.1584523809524,62.1393,241.3853,62.89805,167.2712,179.246,104.37315,33.5768650785714,-118.28332010619,74.7255118226266,33.5483070096715,-118.052369157305,13,0.00206892863183416,0,1.3125
"35","kelp greenling",97.0071765027322,59.8277,156.4,63.290235,147.874595,96.5723,84.58436,44.3960003038798,-124.388731026175,95.7824672939411,44.9815068122466,-124.544863277885,16,0.0179964364104317,4,11.4375
