"","scientific_name","species"
"1","albatrossia pectoralis","giant grenadier"
"2","alepocephalus tenebrosus","california slickhead"
"3","anoplopoma fimbria","sablefish"
"4","antimora microlepis","pacific flatnose"
"5","apristurus brunneus","brown cat shark"
"6","atheresthes stomias","arrowtooth flounder"
"7","bathyraja kincaidii","sandpaper skate"
"8","bathyraja trachura","roughtail skate"
"9","bothrocara brunneum","twoline eelpout"
"10","cancer magister","dungeness crab"
"11","chauliodus macouni","pacific viperfish"
"12","chionoecetes tanneri","grooved tanner crab"
"13","citharichthys sordidus","pacific sanddab"
"14","coryphaenoides acrolepis","pacific grenadier"
"15","embassichthys bathybius","deepsea sole"
"16","eopsetta jordani","petrale sole"
"17","genyonemus lineatus","white croaker"
"18","glyptocephalus zachirus","rex sole"
"19","hexagrammos decagrammus","kelp greenling"
"20","hippoglossoides elassodon","flathead sole"
"21","hydrolagus colliei","spotted ratfish"
"22","lepidopsetta","rock sole unident."
"23","lycenchelys crotalinus","snakehead eelpout"
"24","lycodes cortezianus","bigfin eelpout"
"25","lycodes diapterus","black eelpout"
"26","lycodes pacificus","blackbelly eelpout"
"27","lyopsetta exilis","slender sole"
"28","merluccius productus","pacific hake"
"29","microstomus pacificus","dover sole"
"30","myctophidae","lanternfish unident."
"31","ophiodon elongatus","lingcod"
"32","parmaturus xaniurus","filetail cat shark"
"33","parophrys vetulus","english sole"
"34","pleuronichthys decurrens","curlfin sole"
"35","porichthys notatus","plainfin midshipman"
"36","psettichthys melanostictus","sand sole"
"37","raja binoculata","big skate"
"38","raja inornata","california skate"
"39","raja rhina","longnose skate"
"40","scorpaenichthys marmoratus","cabezon"
"41","sebastes atrovirens","kelp rockfish"
"42","sebastes auriculatus","brown rockfish"
"43","sebastes aurora","aurora rockfish"
"44","sebastes babcocki","redbanded rockfish"
"45","sebastes borealis","shortraker rockfish"
"46","sebastes caurinus","copper rockfish"
"47","sebastes chlorostictus","greenspotted rockfish"
"48","sebastes crameri","darkblotched rockfish"
"49","sebastes diploproa","splitnose rockfish"
"50","sebastes elongatus","greenstriped rockfish"
"51","sebastes entomelas","widow rockfish"
"52","sebastes flavidus","yellowtail rockfish"
"53","sebastes goodei","chilipepper"
"54","sebastes hopkinsi","squarespot rockfish"
"55","sebastes jordani","shortbelly rockfish"
"56","sebastes levis","cowcod"
"57","sebastes maliger","quillback rockfish"
"58","sebastes melanops","black rockfish"
"59","sebastes melanostomus","blackgill rockfish"
"60","sebastes mystinus","blue rockfish"
"61","sebastes ovalis","speckled rockfish"
"62","sebastes pinniger","canary rockfish"
"63","sebastes rubrivinctus","flag rockfish"
"64","sebastes saxicola","stripetail rockfish"
"65","sebastes semicinctus","halfbanded rockfish"
"66","sebastes serranoides","olive rockfish"
"67","sebastes serriceps","tree rockfish"
"68","sebastes sp. (aleutianus / melanostictus)","rougheye and blackspotted rockfish"
"69","sebastes sp. (miniatus / crocotulus)","vermilion and sunset rockfish"
"70","sebastes umbrosus","honeycomb rockfish"
"71","sebastes zacentrus","sharpchin rockfish"
"72","sebastolobus alascanus","shortspine thornyhead"
"73","sebastolobus altivelis","longspine thornyhead"
"74","squalus suckleyi","pacific spiny dogfish"
"75","stromateidae","butterfish unident."
"76","zalembius rosaceus","pink seaperch"
